ID,Sample_Name,Population,Type,VCF_name
1001,1001-F2,1592,F2,1001-F2-Alpha-A1
1002,1002-F2,1592,F2,1002-F2-Alpha-B1
1003,1003-F2,1592,F2,1003-F2-Alpha-C1
1004,1004-F2,1592,F2,1004-F2-Alpha-D1
1005,1005-F2,1592,F2,1005-F2-Alpha-E1
1006,1006-F2,1592,F2,1006-F2-Alpha-F1
1007,1007-F2,1592,F2,1007-F2-Alpha-G1
1008,1008-F2,1592,F2,1008-F2-Alpha-H1
1009,1009-F2,1592,F2,1009-F2-Alpha-A2
1010,1010-F2,1592,F2,1010-F2-Alpha-B2
1011,1011-F2,1592,F2,1011-F2-Alpha-C2
1012,1012-F2,1592,F2,1012-F2-Alpha-D2
1013,1013-F2,1592,F2,1013-F2-Alpha-E2
1014,1014-F2,1592,F2,1014-F2-Alpha-F2
1015,1015-F2,1592,F2,1015-F2-Alpha-G2
1016,1016-F2,1592,F2,1016-F2-Alpha-H2
1017,1017-F2,1592,F2,1017-F2-Alpha-A3
1018,1018-F2,1592,F2,1018-F2-Alpha-B3
1019,1019-F2,1592,F2,1019-F2-Alpha-C3
1020,1020-F2,1592,F2,1020-F2-Alpha-D3
1021,1021-F2,1592,F2,1021-F2-Alpha-E3
1022,1022-F2,1592,F2,1022-F2-Alpha-F3
1023,1023-F2,1592,F2,1023-F2-Alpha-G3
1024,1024-F2,1592,F2,1024-F2-Alpha-H3
1025,1025-F2,1592,F2,1025-F2-Alpha-A4
1026,1026-F2,1592,F2,1026-F2-Alpha-B4
1027,1027-F2,1592,F2,1027-F2-Alpha-C4
1028,1028-F2,1592,F2,1028-F2-Alpha-D4
1029,1029-F2,1592,F2,1029-F2-Alpha-E4
1030,1030-F2,1592,F2,1030-F2-Alpha-F4
1031,1031-F2,1592,F2,1031-F2-Alpha-G4
1032,1032-F2,1592,F2,1032-F2-Alpha-H4
1033,1033-F2,1592,F2,1033-F2-Alpha-A5
1034,1034-F2,1592,F2,1034-F2-Alpha-B5
1035,1035-F2,1592,F2,1035-F2-Alpha-C5
1036,1036-F2,1592,F2,1036-F2-Alpha-D5
1037,1037-F2,1592,F2,1037-F2-Alpha-E5
1038,1038-F2,1592,F2,1038-F2-Alpha-F5
1039,1039-F2,1592,F2,1039-F2-Alpha-G5
1040,1040-F2,1592,F2,1040-F2-Alpha-H5
1041,1041-F2,1592,F2,1041-F2-Alpha-A6
1042,1042-F2,1592,F2,1042-F2-Alpha-B6
1043,1043-F2,1592,F2,1043-F2-Alpha-C6
1044,1044-F2,1592,F2,1044-F2-Alpha-D6
1045,1045-F2,1592,F2,1045-F2-Alpha-E6
1046,1046-F2,1592,F2,1046-F2-Alpha-F6
1047,1047-F2,1592,F2,1047-F2-Alpha-G6
1048,1048-F2,1592,F2,1048-F2-Alpha-H6
1049,1049-F2,1592,F2,1049-F2-Alpha-A7
