ID,Row,UID,Gen,Geno,F1Num,Scale,Photo,biomass,max_width,width_0,width_10,width_20,width_30,width_40,width_50,width_60,width_70,width_80,width_90,width_100,length,length_width_ratio,shoulder_top,shoulder_bottom,tip_angle_top,tip_angle_bottom,above_tipangle_top,above_tipangle_bottom,created,modified,type
1001,1204,1021-MAP-2024,F2,1592-ConicalxRound-F2,1592,955,1,6786.4107,87.6339,55.6,81.88,87.22,77.37,62.72,44.92,31.31,22.41,17.17,9.42,0.31,144.0672,1.64,119.0812,144.864,29.20915881,3.381727324,25.7499,21.1459,10/22/24 9:31,10/22/24 11:17,binary
1002,1204,1022-MAP-2024,F2,1592-ConicalxRound-F2,1592,955,1,5172.7143,67.1127,44.39,56.01,63.97,66.17,58,47.12,34.76,23.77,16.23,11.62,0.52,127.8387,1.9,65.9479,201.6805,32.24246784,1.762391024,24.6428,45.3173,10/22/24 9:31,10/22/24 11:17,binary
1003,1204,1023-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,10918.769,106.6464,60.2,100.3,105.06,78.93,48.24,34.49,25.18,21.37,15.87,13.33,0.21,227.8932,2.14,300.6052,301.0753,8.733682241,13.21274688,115.8542,42.5134,10/22/24 9:31,10/22/24 11:17,binary
1004,1204,1024-MAP-2024,F2,1592-ConicalxRound-F2,1592,947,1,3145.9659,48.2592,12.04,44.56,48.15,46.57,42.13,35.59,27.98,22.6,19.11,14.89,0.32,97.152,2.01,47.148,53.783,32.04040507,24.82455477,75.9742,1.4608,10/22/24 9:31,10/22/24 11:17,binary
1005,1204,1025-MAP-2024,F2,1592-ConicalxRound-F2,1592,955,1,1395.9345,35.3886,22.51,32.67,35.07,32.14,26.18,19.37,13.51,9.63,8.48,6.7,0.42,70.4631,1.99,24.6537,37.2711,12.02227669,22.16634582,2.6419,23.7439,10/22/24 9:31,10/22/24 11:17,binary
1006,1204,1026-MAP-2024,F2,1592-ConicalxRound-F2,1592,955,1,5172.5718,57.0615,42.93,55.49,55.81,51.72,43.66,29.63,24.5,21.04,20.1,17.9,0.1,148.674,2.61,53.9335,52.3549,10.4824384,33.10364195,81.6456,63.0868,10/22/24 9:31,10/22/24 11:17,binary
1007,1204,1027-MAP-2024,F2,1592-ConicalxRound-F2,1592,926,1,3765.3608,54,11.45,45.36,47.95,44.6,37.58,32.08,26.68,23.11,21.71,14.69,1.3,119.988,2.22,67.4063,79.8984,44.51307875,4.497151615,0.8631,82.4295,10/22/24 9:31,10/22/24 11:17,binary
1008,1204,1028-MAP-2024,F2,1592-ConicalxRound-F2,1592,946,1,6261.2198,75.3641,13.21,71.98,71.56,58.66,45.13,36.99,28.43,22.3,17.76,14.59,0.11,155.8018,2.07,128.5842,71.4257,9.383565172,25.97942476,24.0432,110.9987,10/22/24 9:31,10/22/24 11:17,binary
1009,1204,1029-MAP-2024,F2,1592-ConicalxRound-F2,1592,925,1,7685.7309,82.3722,16.21,77.83,82.05,74.81,62.27,52.32,32,29.08,22.81,15.89,0.65,158.5827,1.93,157.078,108.3723,23.05130092,17.92142806,70.5577,37.3589,10/22/24 9:31,10/22/24 11:17,binary
1010,1204,1030-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,5985.4184,82.8414,11,77.13,82.63,76.92,65.38,51.52,31.85,22.96,15.34,14.18,3.81,127.489,1.54,128.0664,140.2563,10.56587327,15.90617908,27.5028,19.5777,10/22/24 9:31,10/22/24 11:17,binary
1011,1204,1031-MAP-2024,F2,1592-ConicalxRound-F2,1592,955,1,4777.5858,66.5892,52.56,64.91,65.54,59.78,49.31,37.9,28.48,21.25,18.85,17.07,1.26,121.452,1.82,37.3917,48.9348,29.21129226,16.47289171,34.114,41.8094,10/22/24 9:31,10/22/24 11:17,binary
